iter	RMSE
0	13.96962521
1	13.09082657
2	12.27861651
3	11.53029884
4	10.83992924
5	10.35597249
6	9.825843078
7	9.364311813
8	8.963046049
9	8.561004581
10	8.201703269
11	7.901088409
12	7.655661339
13	7.426754475
14	7.182915068
15	6.961375587
16	6.7823473
17	6.629551649
18	6.483539595
19	6.375508771
20	6.276604835
21	6.188889123
22	6.083176037
23	5.998041683
24	5.920268984
25	5.865193715
26	5.799605663
27	5.765523699
28	5.710351553
29	5.663145176
30	5.618330813
31	5.57291784
32	5.534439684
33	5.499215228
34	5.474518233
35	5.442832478
36	5.426103135
37	5.397033513
38	5.357527836
39	5.333795202
40	5.316018183
41	5.294243391
42	5.269260507
43	5.250338137
44	5.236689628
45	5.220887095
46	5.2052193
47	5.19189064
48	5.180443518
49	5.161504838
50	5.14421493
51	5.12902699
52	5.112942323
53	5.105275613
54	5.09402598
55	5.083566645
56	5.074731086
57	5.062811664
58	5.049836027
59	5.040326554
60	5.034802305
61	5.020175808
62	5.013038098
63	4.999266331
64	4.976670713
65	4.965202195
66	4.953976591
67	4.941373466
68	4.929346638
69	4.912291705
70	4.905631511
71	4.90017701
72	4.889897298
73	4.880398016
74	4.865563704
75	4.860533089
76	4.858566155
77	4.852479807
78	4.845439416
79	4.836586593
80	4.825264034
81	4.803942257
82	4.794241255
83	4.784589941
84	4.778026267
85	4.759425562
86	4.747129089
87	4.733166324
88	4.729571132
89	4.728055752
90	4.718747922
91	4.711399605
92	4.704087654
93	4.698423728
94	4.687505637
95	4.67651411
96	4.664442844
97	4.657674139
98	4.654669795
99	4.640823104
