iter	Passed	Remaining
0	1	150
1	2	135
2	3	127
3	5	122
4	6	119
5	7	116
6	8	117
7	10	115
8	11	113
9	12	111
10	13	113
11	15	114
12	16	112
13	17	110
14	19	108
15	20	107
16	21	105
17	22	103
18	24	104
19	26	104
20	27	102
21	28	100
22	29	99
23	30	97
24	32	96
25	33	94
26	34	93
27	36	92
28	37	91
29	38	90
30	40	89
31	41	87
32	42	86
33	43	84
34	44	83
35	45	81
36	47	80
37	48	78
38	49	77
39	51	76
40	52	75
41	54	74
42	55	73
43	56	71
44	57	70
45	59	69
46	60	67
47	61	66
48	62	65
49	63	63
50	64	62
51	65	60
52	67	59
53	69	59
54	70	57
55	71	56
56	73	55
57	74	53
58	75	52
59	76	51
60	77	49
61	79	48
62	80	47
63	81	46
64	83	44
65	84	43
66	86	42
67	87	41
68	88	39
69	89	38
70	90	37
71	92	35
72	93	34
73	94	33
74	95	31
75	96	30
76	98	29
77	99	28
78	100	26
79	102	25
80	103	24
81	104	22
82	105	21
83	106	20
84	107	19
85	108	17
86	110	16
87	111	15
88	112	13
89	114	12
90	115	11
91	116	10
92	117	8
93	118	7
94	120	6
95	121	5
96	122	3
97	123	2
98	125	1
99	126	0
