gender,logical reasoning,learning style,stress level,tutions,math score,reading score,writing score
female,average,auditory learning,medium,self study,72,72,74
female,very strong,kinesthetic learning,medium,tutor,69,90,88
female,average,solitary learning,medium,self study,90,95,93
male,very weak,reading/writing learning,high,self study,47,57,44
male,very strong,kinesthetic learning,medium,self study,76,78,75
female,average,reading/writing learning,medium,self study,71,83,78
female,average,kinesthetic learning,medium,tutor,88,95,92
male,average,kinesthetic learning,high,self study,40,43,39
male,strong,visual learning,high,tutor,64,64,67
female,average,visual learning,high,self study,38,60,50
male,very strong,reading/writing learning,medium,self study,58,54,52
male,strong,reading/writing learning,medium,self study,40,52,43
female,average,visual learning,medium,self study,65,81,73
male,very weak,kinesthetic learning,medium,tutor,78,72,70
female,very weak,solitary learning,medium,self study,50,53,58
female,very strong,social learning,medium,self study,69,75,78
male,very strong,visual learning,medium,self study,88,89,86
female,average,social learning,high,self study,18,32,28
male,very strong,solitary learning,high,tutor,46,42,46
female,very strong,reading/writing learning,high,self study,54,58,61
male,strong,visual learning,medium,self study,66,69,63
female,average,kinesthetic learning,high,tutor,65,75,70
male,strong,kinesthetic learning,medium,self study,44,54,53
female,very strong,social learning,medium,self study,69,73,73
male,strong,auditory learning,high,tutor,74,71,80
male,very weak,solitary learning,high,self study,73,74,72
male,average,kinesthetic learning,medium,self study,69,54,55
female,very strong,auditory learning,medium,self study,67,69,75
male,very strong,visual learning,medium,self study,70,70,65
female,strong,solitary learning,medium,self study,62,70,75
female,strong,kinesthetic learning,medium,self study,69,74,74
female,average,kinesthetic learning,medium,self study,63,65,61
female,weak,solitary learning,high,self study,56,72,65
male,strong,kinesthetic learning,medium,self study,40,42,38
male,weak,kinesthetic learning,medium,self study,97,87,82
male,weak,reading/writing learning,medium,tutor,81,81,79
female,strong,reading/writing learning,medium,self study,74,81,83
female,strong,social learning,high,self study,50,64,59
female,strong,reading/writing learning,high,tutor,75,90,88
male,average,reading/writing learning,high,self study,57,56,57
male,very strong,reading/writing learning,high,self study,55,61,54
female,very strong,reading/writing learning,medium,self study,58,73,68
female,average,reading/writing learning,medium,self study,53,58,65
male,average,kinesthetic learning,high,tutor,59,65,66
female,weak,reading/writing learning,high,self study,50,56,54
male,average,reading/writing learning,medium,self study,65,54,57
female,very weak,reading/writing learning,medium,tutor,55,65,62
female,very strong,visual learning,medium,self study,66,71,76
female,strong,reading/writing learning,high,tutor,57,74,76
male,very strong,visual learning,medium,tutor,82,84,82
male,weak,kinesthetic learning,medium,self study,53,55,48
male,weak,reading/writing learning,high,tutor,77,69,68
male,very strong,kinesthetic learning,medium,self study,53,44,42
male,strong,visual learning,medium,self study,88,78,75
female,very strong,social learning,high,tutor,71,84,87
female,very strong,visual learning,high,self study,33,41,43
female,weak,reading/writing learning,medium,tutor,82,85,86
male,strong,reading/writing learning,medium,self study,52,55,49
male,strong,kinesthetic learning,medium,tutor,58,59,58
female,very strong,social learning,high,self study,0,17,10
male,weak,auditory learning,high,tutor,79,74,72
male,very weak,social learning,high,self study,39,39,34
male,very weak,reading/writing learning,high,self study,62,61,55
female,very strong,reading/writing learning,medium,self study,69,80,71
female,strong,social learning,medium,self study,59,58,59
male,average,social learning,medium,self study,67,64,61
male,strong,social learning,high,self study,45,37,37
female,very strong,kinesthetic learning,medium,self study,60,72,74
male,average,reading/writing learning,high,self study,61,58,56
female,very strong,reading/writing learning,medium,self study,39,64,57
female,strong,kinesthetic learning,high,tutor,58,63,73
male,strong,kinesthetic learning,medium,tutor,63,55,63
female,very weak,reading/writing learning,high,self study,41,51,48
male,very strong,social learning,high,self study,61,57,56
male,very strong,social learning,medium,self study,49,49,41
male,average,reading/writing learning,high,self study,44,41,38
male,weak,social learning,medium,self study,30,26,22
male,very weak,auditory learning,medium,tutor,80,78,81
female,strong,social learning,medium,tutor,61,74,72
female,weak,solitary learning,medium,self study,62,68,68
female,average,reading/writing learning,medium,self study,47,49,50
male,average,visual learning,high,self study,49,45,45
male,very weak,kinesthetic learning,high,tutor,50,47,54
male,weak,reading/writing learning,medium,self study,72,64,63
male,strong,visual learning,high,self study,42,39,34
female,very strong,kinesthetic learning,medium,self study,73,80,82
female,very strong,kinesthetic learning,high,self study,76,83,88
female,strong,reading/writing learning,medium,self study,71,71,74
female,very weak,kinesthetic learning,medium,self study,58,70,67
female,strong,social learning,medium,self study,73,86,82
female,very strong,auditory learning,medium,self study,65,72,74
male,very strong,visual learning,high,self study,27,34,36
male,very strong,visual learning,medium,self study,71,79,71
male,very strong,reading/writing learning,high,tutor,43,45,50
female,average,kinesthetic learning,medium,self study,79,86,92
male,very strong,reading/writing learning,high,tutor,78,81,82
male,average,social learning,medium,tutor,65,66,62
female,weak,kinesthetic learning,medium,tutor,63,72,70
female,strong,kinesthetic learning,high,self study,58,67,62
female,strong,auditory learning,medium,self study,65,67,62
male,average,kinesthetic learning,medium,self study,79,67,67
male,strong,auditory learning,medium,tutor,68,74,74
female,strong,reading/writing learning,medium,self study,85,91,89
male,average,visual learning,medium,tutor,60,44,47
male,very strong,kinesthetic learning,medium,tutor,98,86,90
female,very strong,kinesthetic learning,medium,self study,58,67,72
female,strong,solitary learning,medium,self study,87,100,100
male,weak,reading/writing learning,medium,tutor,66,63,64
female,average,reading/writing learning,high,self study,52,76,70
female,average,social learning,medium,self study,70,64,72
female,strong,reading/writing learning,high,tutor,77,89,98
male,very strong,visual learning,medium,self study,62,55,49
male,very weak,reading/writing learning,medium,self study,54,53,47
female,strong,kinesthetic learning,medium,self study,51,58,54
female,weak,auditory learning,medium,tutor,99,100,100
male,very strong,visual learning,medium,self study,84,77,74
female,average,auditory learning,high,self study,75,85,82
female,strong,auditory learning,medium,self study,78,82,79
female,strong,social learning,medium,self study,51,63,61
female,very strong,kinesthetic learning,medium,self study,55,69,65
female,very strong,auditory learning,medium,tutor,79,92,89
male,average,reading/writing learning,medium,tutor,91,89,92
female,very strong,kinesthetic learning,medium,tutor,88,93,93
male,strong,visual learning,high,self study,63,57,56
male,weak,kinesthetic learning,medium,self study,83,80,73
female,average,visual learning,medium,self study,87,95,86
male,average,social learning,medium,self study,72,68,67
male,strong,kinesthetic learning,medium,tutor,65,77,74
male,strong,solitary learning,medium,self study,82,82,74
female,very weak,auditory learning,medium,self study,51,49,51
male,strong,solitary learning,medium,self study,89,84,82
male,very strong,social learning,high,tutor,53,37,40
male,weak,kinesthetic learning,high,tutor,87,74,70
female,very strong,kinesthetic learning,medium,tutor,75,81,84
male,strong,auditory learning,high,tutor,74,79,75
male,very strong,auditory learning,medium,self study,58,55,48
male,average,social learning,medium,tutor,51,54,41
male,weak,visual learning,medium,self study,70,55,56
female,very strong,reading/writing learning,medium,self study,59,66,67
male,strong,kinesthetic learning,medium,tutor,71,61,69
female,strong,social learning,medium,self study,76,72,71
female,very strong,kinesthetic learning,high,self study,59,62,64
female,weak,kinesthetic learning,high,tutor,42,55,54
male,very weak,visual learning,medium,self study,57,43,47
male,strong,kinesthetic learning,medium,self study,88,73,78
female,very strong,kinesthetic learning,high,self study,22,39,33
male,average,social learning,medium,self study,88,84,75
male,very strong,reading/writing learning,high,self study,73,68,66
female,strong,auditory learning,medium,tutor,68,75,81
male,weak,reading/writing learning,high,tutor,100,100,93
male,very weak,social learning,medium,tutor,62,67,69
male,very weak,auditory learning,medium,self study,77,67,68
female,average,reading/writing learning,medium,tutor,59,70,66
male,strong,auditory learning,medium,self study,54,49,47
male,strong,social learning,medium,self study,62,67,61
female,very strong,kinesthetic learning,medium,tutor,70,89,88
female,weak,visual learning,high,tutor,66,74,78
male,average,kinesthetic learning,high,self study,60,60,60
female,average,reading/writing learning,medium,tutor,61,86,87
male,strong,reading/writing learning,high,self study,66,62,64
male,average,reading/writing learning,high,tutor,82,78,74
female,weak,kinesthetic learning,high,tutor,75,88,85
male,average,solitary learning,high,self study,49,53,52
male,very strong,visual learning,medium,self study,52,53,49
female,weak,solitary learning,medium,self study,81,92,91
female,very strong,auditory learning,medium,tutor,96,100,100
male,very strong,visual learning,high,tutor,53,51,51
female,average,solitary learning,high,tutor,58,76,78
female,average,visual learning,medium,tutor,68,83,78
female,very strong,kinesthetic learning,high,tutor,67,75,70
male,very weak,visual learning,medium,tutor,72,73,74
male,weak,social learning,medium,self study,94,88,78
female,strong,kinesthetic learning,medium,self study,79,86,81
female,very strong,reading/writing learning,medium,self study,63,67,70
female,very strong,auditory learning,high,tutor,43,51,54
female,very strong,solitary learning,medium,tutor,81,91,87
female,average,visual learning,high,tutor,46,54,58
female,very strong,reading/writing learning,medium,tutor,71,77,77
female,average,solitary learning,high,tutor,52,70,62
female,strong,social learning,medium,tutor,97,100,100
male,very strong,solitary learning,high,tutor,62,68,75
female,very strong,kinesthetic learning,high,self study,46,64,66
female,weak,visual learning,medium,self study,50,50,47
female,strong,reading/writing learning,medium,self study,65,69,70
male,very strong,social learning,high,tutor,45,52,49
male,very strong,reading/writing learning,high,tutor,65,67,65
male,weak,visual learning,medium,self study,80,76,65
male,strong,social learning,medium,tutor,62,66,68
male,average,social learning,high,self study,48,52,45
female,very strong,auditory learning,medium,self study,77,88,87
female,weak,reading/writing learning,medium,self study,66,65,69
male,strong,kinesthetic learning,medium,tutor,76,83,79
female,average,social learning,medium,self study,62,64,66
male,strong,kinesthetic learning,medium,tutor,77,62,62
female,very strong,solitary learning,medium,tutor,69,84,85
male,strong,reading/writing learning,medium,self study,61,55,52
male,very strong,social learning,high,tutor,59,69,65
male,weak,visual learning,high,self study,55,56,51
female,average,kinesthetic learning,high,self study,45,53,55
female,average,auditory learning,high,self study,78,79,76
female,very strong,reading/writing learning,medium,tutor,67,84,86
female,strong,kinesthetic learning,high,self study,65,81,77
male,very strong,reading/writing learning,medium,self study,69,77,69
female,average,reading/writing learning,medium,self study,57,69,68
male,very strong,kinesthetic learning,medium,self study,59,41,42
male,strong,social learning,medium,tutor,74,71,78
male,weak,auditory learning,medium,self study,82,62,62
male,weak,visual learning,medium,tutor,81,80,76
female,average,kinesthetic learning,high,self study,74,81,76
female,average,kinesthetic learning,high,self study,58,61,66
male,strong,social learning,high,tutor,80,79,79
male,very strong,kinesthetic learning,high,self study,35,28,27
female,very strong,visual learning,high,self study,42,62,60
male,very strong,reading/writing learning,high,tutor,60,51,56
male,weak,visual learning,medium,tutor,87,91,81
male,average,social learning,medium,tutor,84,83,75
female,weak,reading/writing learning,high,tutor,83,86,88
female,very strong,visual learning,high,self study,34,42,39
male,average,visual learning,high,self study,66,77,70
male,average,social learning,medium,tutor,61,56,56
female,strong,visual learning,medium,tutor,56,68,74
male,average,reading/writing learning,medium,self study,87,85,73
female,very strong,social learning,high,self study,55,65,62
male,strong,social learning,medium,self study,86,80,75
female,average,reading/writing learning,medium,tutor,52,66,73
female,weak,solitary learning,high,self study,45,56,54
female,very strong,kinesthetic learning,medium,self study,72,72,71
male,strong,visual learning,medium,self study,57,50,54
male,very weak,social learning,high,self study,68,72,64
female,very strong,kinesthetic learning,medium,tutor,88,95,94
male,strong,kinesthetic learning,medium,self study,76,64,66
male,very strong,reading/writing learning,medium,self study,46,43,42
female,average,auditory learning,medium,self study,67,86,83
male,weak,social learning,medium,self study,92,87,78
male,very strong,auditory learning,medium,tutor,83,82,84
male,strong,reading/writing learning,medium,self study,80,75,77
male,strong,auditory learning,high,self study,63,66,67
female,strong,social learning,medium,tutor,64,60,74
male,average,kinesthetic learning,medium,self study,54,52,51
male,very strong,reading/writing learning,medium,self study,84,80,80
male,strong,visual learning,high,tutor,73,68,66
female,weak,auditory learning,medium,self study,80,83,83
female,strong,visual learning,medium,self study,56,52,55
male,weak,kinesthetic learning,medium,self study,59,51,43
male,strong,social learning,medium,self study,75,74,69
male,very strong,reading/writing learning,medium,self study,85,76,71
male,weak,reading/writing learning,medium,self study,89,76,74
female,average,visual learning,medium,tutor,58,70,68
female,average,visual learning,medium,self study,65,64,62
male,very strong,visual learning,medium,self study,68,60,53
male,very weak,social learning,medium,tutor,47,49,49
female,strong,kinesthetic learning,high,self study,71,83,83
female,average,social learning,medium,tutor,60,70,70
male,strong,solitary learning,medium,self study,80,80,72
male,strong,visual learning,medium,self study,54,52,52
female,weak,kinesthetic learning,medium,self study,62,73,70
female,very strong,reading/writing learning,high,self study,64,73,68
male,very strong,reading/writing learning,medium,tutor,78,77,77
female,average,kinesthetic learning,medium,self study,70,75,78
female,very strong,solitary learning,high,tutor,65,81,81
female,very strong,social learning,high,tutor,64,79,77
male,very strong,kinesthetic learning,medium,tutor,79,79,78
female,very strong,social learning,high,self study,44,50,51
female,weak,visual learning,medium,self study,99,93,90
male,strong,visual learning,medium,self study,76,73,68
male,strong,social learning,high,self study,59,42,41
female,very strong,auditory learning,medium,self study,63,75,81
female,strong,visual learning,medium,self study,69,72,77
female,strong,reading/writing learning,medium,tutor,88,92,95
female,weak,kinesthetic learning,high,self study,71,76,70
male,very strong,auditory learning,medium,self study,69,63,61
male,very strong,kinesthetic learning,medium,self study,58,49,42
female,strong,reading/writing learning,high,self study,47,53,58
female,strong,kinesthetic learning,medium,self study,65,70,71
male,average,kinesthetic learning,medium,tutor,88,85,76
male,very strong,auditory learning,medium,self study,83,78,73
female,very strong,social learning,medium,tutor,85,92,93
female,weak,visual learning,medium,tutor,59,63,75
female,very strong,social learning,high,self study,65,86,80
male,average,auditory learning,high,self study,73,56,57
male,strong,visual learning,medium,self study,53,52,42
male,strong,visual learning,medium,self study,45,48,46
female,strong,auditory learning,high,self study,73,79,84
female,strong,kinesthetic learning,high,tutor,70,78,78
female,average,social learning,medium,self study,37,46,46
male,average,reading/writing learning,medium,tutor,81,82,82
male,weak,reading/writing learning,medium,tutor,97,82,88
female,average,social learning,medium,self study,67,89,82
male,average,auditory learning,high,self study,88,75,76
male,weak,social learning,medium,tutor,77,76,77
male,very strong,reading/writing learning,medium,self study,76,70,68
male,strong,social learning,medium,self study,86,73,70
male,very strong,social learning,medium,tutor,63,60,57
female,weak,auditory learning,medium,self study,65,73,75
male,strong,visual learning,high,tutor,78,77,80
male,average,reading/writing learning,high,self study,67,62,60
male,very weak,social learning,medium,tutor,46,41,43
male,weak,reading/writing learning,medium,tutor,71,74,68
male,very strong,visual learning,high,tutor,40,46,50
male,strong,reading/writing learning,high,self study,90,87,75
male,very weak,kinesthetic learning,high,tutor,81,78,81
male,strong,social learning,high,self study,56,54,52
female,very strong,reading/writing learning,medium,tutor,67,84,81
male,average,reading/writing learning,medium,self study,80,76,64
female,very strong,reading/writing learning,medium,tutor,74,75,83
male,very weak,kinesthetic learning,medium,self study,69,67,69
male,weak,kinesthetic learning,medium,tutor,99,87,81
male,very strong,social learning,medium,self study,51,52,44
female,average,reading/writing learning,high,self study,53,71,67
female,strong,visual learning,high,self study,49,57,52
female,average,reading/writing learning,medium,self study,73,76,80
male,average,auditory learning,medium,self study,66,60,57
male,strong,auditory learning,medium,tutor,67,61,68
female,very strong,reading/writing learning,high,tutor,68,67,69
female,very strong,auditory learning,medium,tutor,59,64,75
male,very strong,visual learning,medium,self study,71,66,65
female,strong,solitary learning,medium,tutor,77,82,91
male,very strong,reading/writing learning,medium,self study,83,72,78
male,average,auditory learning,medium,self study,63,71,69
female,strong,reading/writing learning,high,self study,56,65,63
female,very strong,visual learning,high,tutor,67,79,84
female,weak,visual learning,medium,self study,75,86,79
female,very strong,kinesthetic learning,medium,self study,71,81,80
female,very strong,social learning,high,self study,43,53,53
female,very strong,visual learning,high,self study,41,46,43
female,very strong,kinesthetic learning,medium,self study,82,90,94
male,very strong,kinesthetic learning,medium,self study,61,61,62
male,very weak,kinesthetic learning,high,self study,28,23,19
male,very strong,reading/writing learning,medium,tutor,82,75,77
female,average,social learning,medium,self study,41,55,51
male,very strong,visual learning,medium,self study,71,60,61
male,very strong,reading/writing learning,medium,self study,47,37,35
male,weak,reading/writing learning,medium,tutor,62,56,53
male,average,reading/writing learning,medium,self study,90,78,81
female,very strong,auditory learning,medium,self study,83,93,95
female,average,kinesthetic learning,high,self study,61,68,66
male,strong,social learning,medium,tutor,76,70,69
male,very strong,reading/writing learning,medium,self study,49,51,43
female,average,social learning,high,self study,24,38,27
female,strong,social learning,high,tutor,35,55,60
male,very strong,visual learning,high,self study,58,61,52
female,very strong,visual learning,medium,self study,61,73,63
female,average,visual learning,medium,tutor,69,76,74
male,strong,reading/writing learning,medium,tutor,67,72,67
male,strong,kinesthetic learning,medium,self study,79,73,67
female,very strong,visual learning,medium,self study,72,80,75
male,average,kinesthetic learning,medium,self study,62,61,57
female,very strong,auditory learning,medium,tutor,77,94,95
male,strong,visual learning,high,self study,75,74,66
male,weak,reading/writing learning,medium,self study,87,74,76
female,average,auditory learning,medium,self study,52,65,69
