iter	RMSE
0	14.59871775
1	14.22518863
2	13.85777739
3	13.49547491
4	13.1582474
5	12.8839436
6	12.57193675
7	12.2951419
8	12.02329141
9	11.73172621
10	11.45264526
11	11.21005551
12	10.99108946
13	10.73682524
14	10.50370753
15	10.26276775
16	10.06042448
17	9.846510138
18	9.64260904
19	9.458444276
20	9.288334519
21	9.135888673
22	8.968565455
23	8.804546867
24	8.651897844
25	8.528032876
26	8.400476294
27	8.286095141
28	8.150238414
29	8.032386569
30	7.913748214
31	7.800356382
32	7.689970976
33	7.597422766
34	7.488763494
35	7.391248367
36	7.295325744
37	7.219988465
38	7.134527239
39	7.054801531
40	6.982868828
41	6.90643166
42	6.830640242
43	6.759209225
44	6.696213237
45	6.64025357
46	6.576858884
47	6.518284115
48	6.460949486
49	6.412880833
50	6.367424937
51	6.315114065
52	6.265864641
53	6.21948771
54	6.179484459
55	6.144204946
56	6.103782124
57	6.070267246
58	6.032956867
59	5.995772004
60	5.967294229
61	5.933476854
62	5.900402896
63	5.870440066
64	5.84255381
65	5.813426522
66	5.789532325
67	5.762967352
68	5.738307681
69	5.715268714
70	5.689124964
71	5.66751791
72	5.648190374
73	5.625103003
74	5.609789891
75	5.591743331
76	5.578097821
77	5.563934792
78	5.546899855
79	5.53016335
80	5.514046297
81	5.501704913
82	5.487870747
83	5.473694154
84	5.458282117
85	5.445162749
86	5.431478276
87	5.419993075
88	5.407715589
89	5.393894648
90	5.382763182
91	5.373083898
92	5.361911755
93	5.348563011
94	5.334901519
95	5.324406302
96	5.315136459
97	5.308037326
98	5.301085999
99	5.291272041
100	5.281950422
101	5.272811146
102	5.261895807
103	5.254228335
104	5.245380533
105	5.239758813
106	5.229383567
107	5.22152742
108	5.214127789
109	5.202377782
110	5.193504558
111	5.186112096
112	5.174874876
113	5.165471011
114	5.16135712
115	5.152886194
116	5.145876183
117	5.138553666
118	5.129761277
119	5.125158424
120	5.119561968
121	5.111948035
122	5.107044379
123	5.098908704
124	5.09535668
125	5.087895439
126	5.084986262
127	5.079092714
128	5.075003995
129	5.068875244
130	5.062770881
131	5.057011244
132	5.04843565
133	5.045058254
134	5.040742666
135	5.03734351
136	5.032795739
137	5.026774781
138	5.022341342
139	5.020794854
140	5.017949382
141	5.012093344
142	5.008577059
143	5.003894948
144	4.998769306
145	4.995239763
146	4.98895223
147	4.983807839
148	4.979452992
149	4.974525118
150	4.967554875
151	4.96207108
152	4.957961782
153	4.95297973
154	4.948040066
155	4.944202875
156	4.938924992
157	4.935038673
158	4.933132433
159	4.930371454
160	4.927977859
161	4.925071509
162	4.919881368
163	4.917643959
164	4.913907165
165	4.910332604
166	4.905813122
167	4.902796904
168	4.897776235
169	4.894201731
170	4.889793488
171	4.885593609
172	4.882653285
173	4.87762638
174	4.874247065
175	4.870907567
176	4.866140378
177	4.863353021
178	4.860332154
179	4.856521626
180	4.853716861
181	4.849200698
182	4.846544803
183	4.842469016
184	4.836127233
185	4.830329906
186	4.824327308
187	4.820368536
188	4.815738953
189	4.811884708
190	4.807920515
191	4.80547196
192	4.803115403
193	4.799464996
194	4.794808247
195	4.790079714
196	4.785355493
197	4.782868423
198	4.780637248
199	4.777616039
200	4.774475651
201	4.771240076
202	4.76736963
203	4.764496494
204	4.761072187
205	4.758453146
206	4.752373939
207	4.7505472
208	4.749142941
209	4.745629137
210	4.740450666
211	4.736932626
212	4.734531004
