iter	Passed	Remaining
0	1	1429
1	2	1309
2	3	1266
3	4	1231
4	6	1203
5	8	1336
6	9	1319
7	10	1292
8	11	1270
9	12	1254
10	13	1238
11	14	1229
12	16	1218
13	17	1210
14	18	1204
15	19	1197
16	20	1194
17	22	1250
18	24	1248
19	25	1240
20	26	1242
21	28	1247
22	29	1253
23	31	1260
24	32	1263
25	33	1267
26	35	1273
27	37	1305
28	39	1310
29	40	1322
30	42	1324
31	43	1323
32	45	1323
33	46	1326
34	48	1323
35	49	1320
36	50	1317
37	52	1336
38	54	1340
39	55	1340
40	57	1339
41	58	1337
42	60	1336
43	61	1335
44	62	1333
45	64	1335
46	65	1335
47	67	1339
48	69	1341
49	70	1341
50	72	1341
51	73	1338
52	74	1334
53	75	1331
54	77	1328
55	78	1321
56	81	1347
57	82	1348
58	84	1346
59	85	1344
60	87	1340
61	88	1336
62	90	1341
63	91	1339
64	92	1335
65	95	1348
66	96	1344
67	97	1340
68	99	1335
69	100	1330
70	101	1327
71	102	1324
72	104	1322
73	105	1318
74	106	1314
75	107	1310
76	109	1318
77	111	1315
78	112	1313
79	113	1309
80	115	1305
81	116	1301
82	117	1297
83	118	1293
84	119	1289
85	121	1286
86	122	1282
87	123	1283
88	125	1287
89	126	1283
90	128	1278
91	129	1274
92	130	1270
93	131	1268
94	132	1264
95	133	1260
96	134	1256
97	136	1252
98	137	1248
99	138	1244
100	140	1248
101	141	1246
102	142	1243
103	143	1239
104	145	1243
105	147	1243
106	148	1239
107	149	1235
108	150	1232
109	151	1228
110	152	1225
111	155	1230
112	156	1228
113	157	1224
114	158	1219
115	160	1220
116	161	1221
117	163	1221
118	164	1221
119	166	1222
120	168	1221
121	169	1222
122	174	1242
123	175	1243
124	177	1241
125	178	1239
126	179	1236
127	181	1235
128	182	1234
129	185	1239
130	186	1238
131	188	1236
132	189	1233
133	190	1231
134	191	1228
135	192	1225
136	194	1222
137	195	1219
138	196	1216
139	196	1209
140	199	1214
141	200	1211
142	201	1208
143	202	1205
144	203	1202
145	205	1199
146	206	1196
147	207	1193
148	208	1192
149	210	1190
150	211	1187
151	212	1185
152	214	1187
153	215	1185
154	217	1184
155	218	1182
156	219	1180
157	221	1177
158	222	1176
159	224	1177
160	225	1176
161	227	1175
162	229	1177
163	230	1176
164	231	1173
165	233	1171
166	234	1170
167	235	1168
168	237	1165
169	238	1163
170	239	1160
171	240	1157
172	241	1154
173	243	1157
174	244	1154
175	246	1152
176	247	1149
177	248	1147
178	249	1145
179	250	1142
180	251	1139
181	253	1137
182	254	1134
183	255	1132
184	256	1129
185	258	1131
186	260	1130
187	261	1128
188	262	1126
189	263	1124
190	265	1123
191	266	1121
192	267	1119
193	268	1117
194	269	1114
195	271	1112
196	273	1113
197	274	1111
198	275	1109
199	276	1106
200	277	1104
201	278	1101
202	280	1100
203	281	1098
204	282	1096
205	283	1094
206	285	1091
207	286	1089
208	288	1091
209	289	1089
210	290	1087
211	291	1084
212	293	1082
213	294	1080
214	295	1078
